"Date,Category,Amount,Type"
"2024-03-10,Housing,196.52,Expense"
"2024-03-11,Food,52.16,Expense"
"2024-03-12,Entertainment,113.87,Expense"
"2024-03-13,Salary,1347.57,Income"
"2024-03-14,Transportation,171.98,Expense"
"2024-03-15,Food,130.2,Expense"
"2024-03-16,Entertainment,180.22,Expense"
"2024-03-17,Transportation,77.6,Expense"
"2024-03-18,Salary,512.65,Income"
"2024-03-19,Housing,99.69,Expense"
"2024-03-20,Utilities,48.73,Expense"
"2024-03-21,Salary,1734.73,Income"
"2024-03-22,Transportation,133.23,Expense"
"2024-03-23,Entertainment,104.22,Expense"
"2024-03-24,Utilities,99.91,Expense"
"2024-03-25,Salary,2487.03,Income"
"2024-03-26,Entertainment,135.44,Expense"
"2024-03-27,Investment,2306.13,Income"
"2024-03-28,Transportation,154.87,Expense"
"2024-03-29,Entertainment,188.39,Expense"
"2024-03-30,Salary,2708.74,Income"
"2024-03-31,Salary,2820.8,Income"
"2024-04-01,Utilities,116.6,Expense"
"2024-04-02,Investment,1236.12,Income"
"2024-04-03,Food,66.8,Expense"
"2024-04-04,Food,81.96,Expense"
"2024-04-05,Salary,1925.15,Income"
"2024-04-06,Housing,54.56,Expense"
"2024-04-07,Housing,149.45,Expense"
"2024-04-08,Transportation,143.24,Expense"
"2024-04-09,Housing,162.83,Expense"
"2024-04-10,Salary,2028.78,Income"
"2024-04-11,Food,127.44,Expense"
"2024-04-12,Entertainment,177.89,Expense"
"2024-04-13,Housing,23.33,Expense"
"2024-04-14,Transportation,95.79,Expense"
"2024-04-15,Utilities,168.59,Expense"
"2024-04-16,Salary,593.37,Income"
"2024-04-17,Investment,1842.71,Income"
"2024-04-18,Utilities,57.95,Expense"
"2024-04-19,Salary,713.37,Income"
"2024-04-20,Entertainment,85.21,Expense"
"2024-04-21,Entertainment,30.89,Expense"
"2024-04-22,Investment,1307.39,Income"
"2024-04-23,Salary,1583.8,Income"
"2024-04-24,Investment,563.38,Income"
"2024-04-25,Salary,1570.79,Income"
"2024-04-26,Food,38.79,Expense"
"2024-04-27,Housing,51.76,Expense"
"2024-04-28,Food,133.74,Expense"
"2024-04-29,Utilities,148.89,Expense"
"2024-04-30,Utilities,86.82,Expense"
"2024-05-01,Transportation,152.78,Expense"
"2024-05-02,Entertainment,13.97,Expense"
"2024-05-03,Entertainment,39.19,Expense"
"2024-05-04,Housing,100.87,Expense"
"2024-05-05,Food,95.61,Expense"
"2024-05-06,Housing,125.09,Expense"
"2024-05-07,Housing,55.87,Expense"
"2024-05-08,Transportation,103.11,Expense"
"2024-05-09,Salary,2209.91,Income"
"2024-05-10,Housing,10.17,Expense"
"2024-05-11,Transportation,161.19,Expense"
"2024-05-12,Transportation,130.44,Expense"
"2024-05-13,Transportation,165.02,Expense"
"2024-05-14,Food,192.43,Expense"
"2024-05-15,Investment,1184.9,Income"
"2024-05-16,Housing,12.6,Expense"
"2024-05-17,Food,132.87,Expense"
"2024-05-18,Housing,9.54,Expense"
"2024-05-19,Salary,1740.09,Income"
"2024-05-20,Housing,127.64,Expense"
"2024-05-21,Investment,1544.87,Income"
"2024-05-22,Investment,943.6,Income"
"2024-05-23,Investment,1939.81,Income"
"2024-05-24,Investment,1430.05,Income"
"2024-05-25,Investment,2667.79,Income"
"2024-05-26,Entertainment,88.65,Expense"
"2024-05-27,Salary,1095.59,Income"
"2024-05-28,Food,103.52,Expense"
"2024-05-29,Investment,1244.09,Income"
"2024-05-30,Entertainment,7.11,Expense"
"2024-05-31,Investment,1387.26,Income"
"2024-06-01,Salary,2876.52,Income"
"2024-06-02,Utilities,22.88,Expense"
"2024-06-03,Entertainment,136.14,Expense"
"2024-06-04,Salary,2453.24,Income"
"2024-06-05,Utilities,101.41,Expense"
"2024-06-06,Housing,91.1,Expense"
"2024-06-07,Salary,2264.58,Income"
"2024-06-08,Salary,2403.78,Income"
"2024-06-09,Utilities,168.5,Expense"
"2024-06-10,Housing,82.35,Expense"
"2024-06-11,Investment,703.37,Income"
"2024-06-12,Transportation,118.35,Expense"
"2024-06-13,Investment,2532.0,Income"
"2024-06-14,Salary,1979.72,Income"
"2024-06-15,Entertainment,21.28,Expense"
"2024-06-16,Investment,2262.71,Income"
"2024-06-17,Transportation,26.68,Expense"
"2024-06-18,Utilities,84.01,Expense"
"2024-06-19,Entertainment,28.17,Expense"
"2024-06-20,Food,150.12,Expense"
"2024-06-21,Entertainment,192.62,Expense"
"2024-06-22,Food,21.16,Expense"
"2024-06-23,Utilities,192.83,Expense"
"2024-06-24,Utilities,13.42,Expense"
"2024-06-25,Investment,2811.61,Income"
"2024-06-26,Investment,1884.64,Income"
"2024-06-27,Investment,915.54,Income"
"2024-06-28,Food,127.37,Expense"
"2024-06-29,Food,183.47,Expense"
"2024-06-30,Investment,2725.66,Income"
"2024-07-01,Entertainment,70.45,Expense"
"2024-07-02,Entertainment,95.42,Expense"
"2024-07-03,Housing,56.86,Expense"
"2024-07-04,Entertainment,197.31,Expense"
"2024-07-05,Food,59.55,Expense"
"2024-07-06,Utilities,138.52,Expense"
"2024-07-07,Transportation,165.39,Expense"
"2024-07-08,Investment,1952.91,Income"
"2024-07-09,Investment,2831.82,Income"
"2024-07-10,Salary,912.09,Income"
"2024-07-11,Food,98.67,Expense"
"2024-07-12,Salary,1985.33,Income"
"2024-07-13,Transportation,169.21,Expense"
"2024-07-14,Investment,592.05,Income"
"2024-07-15,Utilities,15.99,Expense"
"2024-07-16,Salary,1835.87,Income"
"2024-07-17,Salary,1888.58,Income"
"2024-07-18,Salary,2392.7,Income"
